,support,itemsets
0,0.5590687977762335,frozenset({'Heavy Industry'})
1,0.45825474039511566,frozenset({'Home Appliances'})
2,0.45329097587610445,frozenset({'Building Material'})
3,0.42852179092623843,frozenset({'Church'})
4,0.40697905291372977,frozenset({'Transit Station'})
5,0.3748138588305371,frozenset({'Hair Salon'})
6,0.37267944008736226,frozenset({'Real Estate'})
7,0.33515338032363745,frozenset({'Park'})
8,0.33510374267844734,"frozenset({'Heavy Industry', 'Building Material'})"
9,0.3323240345478011,frozenset({'Accountant Office'})
10,0.33192693338628015,"frozenset({'Home Appliances', 'Heavy Industry'})"
11,0.3186240444753301,frozenset({'Laundry '})
12,0.31351136702074855,frozenset({'Driving School'})
13,0.30174724511069195,"frozenset({'Home Appliances', 'Building Material'})"
14,0.29231609252457064,"frozenset({'Real Estate', 'Heavy Industry'})"
15,0.2860617492306165,"frozenset({'Heavy Industry', 'Hair Salon'})"
16,0.2844237069393428,frozenset({'Community Center'})
17,0.2779211754194381,"frozenset({'Real Estate', 'Building Material'})"
18,0.2721632085773851,"frozenset({'Transit Station', 'Heavy Industry'})"
19,0.27201429564181473,"frozenset({'Building Material', 'Hair Salon'})"
20,0.26829147225255634,"frozenset({'Home Appliances', 'Real Estate'})"
21,0.2670008934776134,frozenset({'Hospital'})
22,0.2669512558324233,"frozenset({'Real Estate', 'Hair Salon'})"
23,0.2658592276382408,"frozenset({'Heavy Industry', 'Church'})"
24,0.26422118534696715,"frozenset({'Home Appliances', 'Hair Salon'})"
25,0.258413580859724,"frozenset({'Heavy Industry', 'Accountant Office'})"
26,0.2559316986002184,frozenset({'Café'})
27,0.2547403951156557,"frozenset({'Transit Station', 'Building Material'})"
28,0.2518614116946292,frozenset({'Bank'})
29,0.25126575995234784,"frozenset({'Heavy Industry', 'Laundry '})"
